序号,名称,网址后缀
77,['[计算机][计算机SolidWorks2014快速入门教学视频RAR][《Solidworks快速入门教程》一书的配套视频教程]'],['/torrents/596758/']
78,['[计算机][计算机photoshop广告级皮肤修饰MP4 ][视频][李涛ps教程]'],['/torrents/596390/']
79,['[开放课程][用Python玩转数据-南京大学-张莉][视频][MOOC课程]'],['/torrents/594590/']
80,['[外语][经济学人/The Economist][2017.02.25/非扫描版PDF mobi epub MP3]'],['/torrents/594482/']
81,['[外语][NBC Nightly News 2016.12.09][视频][720P]'],['/torrents/592267/']
82,['[外语][NBC Nightly News 2016.12.07][视频][720P]'],['/torrents/592167/']
83,['[外语][CNN 学生新闻/CNN Student News][视频][2016.12.07]'],['/torrents/592153/']
84,['[外语][NBC Nightly News 2016.12.05][视频][720P]'],['/torrents/592107/']
85,['[外语][NBC Nightly News 2016.12.04][视频][720P]'],['/torrents/592057/']
86,['[外语][经济学人/The Economist][2016-12-03/PDF非扫描版+MP3++epub+mobi]'],['/torrents/591887/']
87,['[外语][NBC Nightly News 2016.11.30][视频][720P]'],['/torrents/591830/']
88,['[外语][NBC Nightly News 2016.11.29][视频][720P]'],['/torrents/591782/']
89,['[外语][NBC Nightly News 2016.11.28][视频][720P]'],['/torrents/591736/']
90,['[外语][CNN 学生新闻/CNN Student News][视频][2016.11.29]'],['/torrents/591721/']
91,"['[计算机][photoshop资源库][Photoshop的资源,包括笔刷/国画/网店装修等///]']",['/torrents/591712/']
92,['[外语][NBC Nightly News 2016.11.27][视频][720P]'],['/torrents/591688/']
93,['[外语][CNN 学生新闻][视频][2016.11.27]'],['/torrents/591658/']
94,['[人文社会][志航淘宝营销教学视频][视频][FLV/MP4]'],['/torrents/591655/']
95,['[外语][NBC Nightly News 2016.11.25][视频][720P]'],['/torrents/591607/']
96,['[外语][NBC Nightly News 2016.11.24][视频][720P]'],['/torrents/591565/']
97,['[外语][NBC Nightly News 2016.11.23][视频][720P]'],['/torrents/591563/']
98,['[外语][NBC Nightly News 2016.11.22][视频][720P]'],['/torrents/591450/']
